id,pop,shop,brand,container,capacity,price,quantity
44,346502,shop_4,lemon-boost,glass,500ml,0.82,27727
45,346502,shop_4,lemon-boost,plastic,1.5lt,1.56,16352
46,672130,shop_3,kinder-cola,plastic,1.5lt,3.21,5630
47,672130,shop_3,kinder-cola,can,330ml,0.9,5891
48,672130,shop_3,adult-cola,glass,500ml,1.13,12339
49,672130,shop_3,adult-cola,plastic,1.5lt,2.46,9720
50,672130,shop_3,adult-cola,can,330ml,0.71,12035
51,672130,shop_3,orange-power,glass,500ml,0.83,17298
52,672130,shop_3,orange-power,plastic,1.5lt,1.83,10483
53,672130,shop_3,orange-power,can,330ml,0.53,16545
54,672130,shop_3,gazoza,glass,500ml,0.38,35931
55,672130,shop_3,gazoza,plastic,1.5lt,1.16,14480
56,672130,shop_3,lemon-boost,can,330ml,0.33,21997
57,137540,shop_5,kinder-cola,glass,500ml,1.38,7495
58,137540,shop_5,adult-cola,glass,500ml,1.06,14887
59,137540,shop_5,adult-cola,plastic,1.5lt,2.83,9126
60,137540,shop_5,adult-cola,can,330ml,0.59,17878
61,137540,shop_5,orange-power,glass,500ml,0.66,24301
62,137540,shop_5,orange-power,plastic,1.5lt,1.57,16161
63,137540,shop_5,orange-power,can,330ml,0.34,39554
64,137540,shop_5,gazoza,glass,500ml,0.59,27498
65,137540,shop_5,gazoza,plastic,1.5lt,0.84,26495
66,137540,shop_5,gazoza,can,330ml,0.27,41445
67,137540,shop_5,lemon-boost,glass,500ml,0.91,13940
68,137540,shop_5,lemon-boost,can,330ml,0.55,16123
69,672130,shop_3,lemon-boost,plastic,1.5lt,1.99,8868
70,672130,shop_3,gazoza,can,330ml,0.33,19886
71,137540,shop_5,kinder-cola,can,330ml,0.46,19572
72,137540,shop_5,lemon-boost,plastic,1.5lt,1.73,12100
73,672130,shop_3,kinder-cola,glass,500ml,1.57,5089
74,346502,shop_4,adult-cola,glass,500ml,1.05,20401
75,672130,shop_1,gazoza,can,330ml,0.4,16367
76,134219,shop_2,orange-power,plastic,1.5lt,1.27,25347
77,134219,shop_2,adult-cola,plastic,1.5lt,2.61,15126
78,164250,shop_6,lemon-boost,glass,500ml,0.86,26717
79,346502,shop_4,gazoza,plastic,1.5lt,0.71,42833
80,346502,shop_4,kinder-cola,glass,500ml,1.39,11406
81,164250,shop_6,orange-power,glass,500ml,0.62,38696
82,346502,shop_4,gazoza,glass,500ml,0.56,39056
83,672130,shop_1,adult-cola,plastic,1.5lt,2.55,12229
84,346502,shop_4,lemon-boost,can,330ml,0.68,13970
85,137540,shop_5,kinder-cola,plastic,1.5lt,3.03,5330
86,672130,shop_1,gazoza,plastic,1.5lt,0.85,26884
87,672130,shop_1,orange-power,plastic,1.5lt,1.47,15702
88,672130,shop_3,lemon-boost,glass,500ml,0.87,14309
89,134219,shop_2,adult-cola,can,330ml,0.64,21095
90,672130,shop_1,kinder-cola,glass,500ml,0.96,10799
91,672130,shop_1,kinder-cola,plastic,1.5lt,2.9,7114
92,672130,shop_1,kinder-cola,can,330ml,0.82,8616
93,672130,shop_1,adult-cola,can,330ml,0.39,29463
94,672130,shop_1,orange-power,glass,500ml,0.87,16695
95,672130,shop_1,orange-power,plastic,1.5lt,2.51,5777
96,672130,shop_1,gazoza,glass,500ml,0.73,11362
97,672130,shop_1,gazoza,plastic,1.5lt,1.35,7946
98,672130,shop_1,gazoza,can,330ml,0.23,41963
99,672130,shop_1,lemon-boost,glass,500ml,0.7,17446
100,672130,shop_1,lemon-boost,plastic,1.5lt,2.16,7515
101,672130,shop_1,lemon-boost,can,330ml,0.56,16815
102,134219,shop_2,kinder-cola,glass,500ml,1.25,10413
103,134219,shop_2,kinder-cola,plastic,1.5lt,2.34,9527
104,134219,shop_2,kinder-cola,can,330ml,0.89,7156
105,134219,shop_2,adult-cola,glass,500ml,1.02,15140
106,134219,shop_2,adult-cola,plastic,1.5lt,1.61,12356
107,134219,shop_2,orange-power,glass,500ml,0.51,24366
108,134219,shop_2,orange-power,plastic,1.5lt,1.96,13305
109,134219,shop_2,orange-power,can,330ml,0.44,33120
110,134219,shop_2,gazoza,glass,500ml,0.59,27468
111,134219,shop_2,lemon-boost,glass,500ml,0.71,18764
112,134219,shop_2,lemon-boost,plastic,1.5lt,1.67,10790
113,134219,shop_2,lemon-boost,can,330ml,0.67,11939
114,164250,shop_6,kinder-cola,glass,500ml,1.3,14558
115,164250,shop_6,kinder-cola,can,330ml,0.74,13663
116,164250,shop_6,adult-cola,plastic,1.5lt,3.63,6510
117,164250,shop_6,adult-cola,can,330ml,0.72,23189
118,164250,shop_6,orange-power,glass,500ml,0.8,33467
119,164250,shop_6,orange-power,plastic,1.5lt,1.23,31679
120,164250,shop_6,orange-power,can,330ml,0.18,65860
121,164250,shop_6,gazoza,glass,500ml,0.6,46017
122,164250,shop_6,gazoza,can,330ml,0.28,60087
123,164250,shop_6,lemon-boost,glass,500ml,0.84,24260
124,164250,shop_6,lemon-boost,plastic,1.5lt,1.68,16902
125,164250,shop_6,lemon-boost,can,330ml,0.46,25713
126,346502,shop_4,kinder-cola,glass,500ml,1.44,8015
127,346502,shop_4,kinder-cola,plastic,1.5lt,2.51,9418
128,346502,shop_4,kinder-cola,can,330ml,0.59,15152
129,346502,shop_4,adult-cola,glass,500ml,1.19,11993
130,346502,shop_4,adult-cola,plastic,1.5lt,3.15,9196
131,346502,shop_4,adult-cola,can,330ml,0.82,13290
132,346502,shop_4,orange-power,glass,500ml,0.91,20486
133,346502,shop_4,orange-power,can,330ml,0.39,33083
134,346502,shop_4,gazoza,glass,500ml,0.61,26542
135,346502,shop_4,gazoza,can,330ml,0.28,41854
136,346502,shop_4,lemon-boost,glass,500ml,0.94,18081
137,346502,shop_4,lemon-boost,plastic,1.5lt,2.36,8674
138,346502,shop_4,lemon-boost,can,330ml,0.63,14972
139,672130,shop_3,kinder-cola,glass,500ml,1.13,8191
140,672130,shop_3,kinder-cola,plastic,1.5lt,2.89,4359
141,672130,shop_3,orange-power,glass,500ml,0.77,16804
142,672130,shop_3,orange-power,plastic,1.5lt,2.3,6134
143,672130,shop_3,gazoza,plastic,1.5lt,0.98,14749
144,672130,shop_3,gazoza,can,330ml,0.23,31283
145,672130,shop_3,lemon-boost,glass,500ml,0.74,10913
146,672130,shop_3,lemon-boost,plastic,1.5lt,1.37,10071
147,672130,shop_3,lemon-boost,can,330ml,0.62,8824
148,137540,shop_5,kinder-cola,plastic,1.5lt,2.39,8347
149,137540,shop_5,adult-cola,glass,500ml,1.33,8701
150,137540,shop_5,adult-cola,plastic,1.5lt,2.67,9505
151,137540,shop_5,adult-cola,can,330ml,0.88,8850
152,137540,shop_5,orange-power,glass,500ml,0.92,11940
153,137540,shop_5,orange-power,plastic,1.5lt,1.62,11135
154,137540,shop_5,orange-power,can,330ml,0.44,21358
155,137540,shop_5,gazoza,glass,500ml,0.52,24485
156,137540,shop_5,gazoza,plastic,1.5lt,1,13945
157,137540,shop_5,gazoza,can,330ml,0.38,18011
158,137540,shop_5,lemon-boost,glass,500ml,0.65,14859
159,137540,shop_5,lemon-boost,plastic,1.5lt,2.25,8889
160,164250,shop_6,kinder-cola,plastic,1.5lt,3.17,9343
161,672130,shop_1,adult-cola,plastic,1.5lt,2.67,8954
162,137540,shop_5,kinder-cola,glass,500ml,1.46,6972
163,137540,shop_5,lemon-boost,can,330ml,0.54,11835
164,672130,shop_3,gazoza,glass,500ml,0.48,24822
165,134219,shop_2,adult-cola,can,330ml,0.67,17989
166,134219,shop_2,gazoza,can,330ml,0.22,47555
167,164250,shop_6,gazoza,plastic,1.5lt,0.55,39745
168,672130,shop_1,orange-power,can,330ml,0.36,30933
169,346502,shop_4,gazoza,plastic,1.5lt,0.38,38461
170,346502,shop_4,orange-power,plastic,1.5lt,2.03,14801
171,137540,shop_5,kinder-cola,can,330ml,0.84,6111
172,672130,shop_3,adult-cola,glass,500ml,1.29,6763
173,672130,shop_1,adult-cola,glass,500ml,1.3,8324
174,672130,shop_3,adult-cola,plastic,1.5lt,3.23,6687
175,672130,shop_3,adult-cola,can,330ml,0.39,21239
176,672130,shop_3,orange-power,can,330ml,0.37,22035
177,672130,shop_3,kinder-cola,can,330ml,0.74,8187
178,134219,shop_2,gazoza,plastic,1.5lt,1.12,21164
179,164250,shop_6,adult-cola,glass,500ml,1.29,14052
180,672130,shop_1,kinder-cola,glass,500ml,1.33,12248
181,672130,shop_1,kinder-cola,plastic,1.5lt,2.87,10955
182,672130,shop_1,kinder-cola,can,330ml,0.89,9656
183,672130,shop_1,adult-cola,plastic,1.5lt,2.65,14881
184,672130,shop_1,orange-power,plastic,1.5lt,1.58,25940
185,672130,shop_1,orange-power,can,330ml,0.26,59678
186,672130,shop_1,gazoza,glass,500ml,0.65,30816
187,672130,shop_1,lemon-boost,plastic,1.5lt,1.81,14927
188,672130,shop_1,lemon-boost,can,330ml,0.59,18032
189,134219,shop_2,kinder-cola,glass,500ml,1.18,14321
190,134219,shop_2,kinder-cola,plastic,1.5lt,2.72,11422
191,134219,shop_2,kinder-cola,can,330ml,0.65,20461
192,134219,shop_2,adult-cola,glass,500ml,1.32,14333
193,134219,shop_2,adult-cola,plastic,1.5lt,2.73,15019
194,134219,shop_2,orange-power,glass,500ml,0.79,37443
195,134219,shop_2,orange-power,plastic,1.5lt,1.43,28770
196,134219,shop_2,orange-power,can,330ml,0.5,37527
197,134219,shop_2,gazoza,glass,500ml,0.59,45858
198,134219,shop_2,gazoza,plastic,1.5lt,0.97,30527
199,134219,shop_2,gazoza,can,330ml,0.27,65904
200,134219,shop_2,lemon-boost,glass,500ml,0.8,24792
201,134219,shop_2,lemon-boost,plastic,1.5lt,2.85,7657
202,134219,shop_2,lemon-boost,can,330ml,0.39,34868
203,164250,shop_6,kinder-cola,glass,500ml,1.52,13455
204,164250,shop_6,kinder-cola,plastic,1.5lt,2.54,15703
205,164250,shop_6,kinder-cola,can,330ml,0.9,15900
206,164250,shop_6,adult-cola,glass,500ml,1.41,20640
207,164250,shop_6,adult-cola,plastic,1.5lt,2.47,21964
208,164250,shop_6,adult-cola,can,330ml,0.73,31895
209,164250,shop_6,orange-power,glass,500ml,0.73,44807
210,164250,shop_6,orange-power,plastic,1.5lt,1.84,30099
211,164250,shop_6,orange-power,can,330ml,0.43,58697
212,164250,shop_6,gazoza,glass,500ml,0.63,47949
213,164250,shop_6,gazoza,can,330ml,0.27,83074
214,164250,shop_6,lemon-boost,plastic,1.5lt,1.77,24045
215,164250,shop_6,lemon-boost,can,330ml,0.67,21266
216,346502,shop_4,kinder-cola,glass,500ml,1.6,9557
217,346502,shop_4,kinder-cola,plastic,1.5lt,3.46,8949
218,346502,shop_4,kinder-cola,can,330ml,0.79,16093
219,346502,shop_4,adult-cola,glass,500ml,1.06,29188
220,346502,shop_4,adult-cola,can,330ml,0.72,22784
221,346502,shop_4,orange-power,glass,500ml,0.7,54080
222,346502,shop_4,orange-power,can,330ml,0.3,61832
223,346502,shop_4,gazoza,glass,500ml,0.53,59663
224,346502,shop_4,gazoza,plastic,1.5lt,0.6,50316
225,346502,shop_4,gazoza,can,330ml,0.29,61129
226,346502,shop_4,lemon-boost,plastic,1.5lt,2.34,13874
227,346502,shop_4,lemon-boost,can,330ml,0.51,24110
228,672130,shop_3,kinder-cola,glass,500ml,1.24,10319
229,672130,shop_3,kinder-cola,plastic,1.5lt,3.67,5045
230,672130,shop_3,kinder-cola,can,330ml,0.8,10386
231,672130,shop_3,adult-cola,plastic,1.5lt,0.85,19424
232,672130,shop_3,orange-power,glass,500ml,0.57,33568
233,672130,shop_3,orange-power,plastic,1.5lt,1.3,21788
234,672130,shop_3,gazoza,glass,500ml,0.61,27346
235,672130,shop_3,gazoza,plastic,1.5lt,0.45,33115
236,672130,shop_3,gazoza,can,330ml,0.29,38321
237,672130,shop_3,lemon-boost,plastic,1.5lt,1.46,13739
238,672130,shop_3,lemon-boost,can,330ml,0.52,17351
239,137540,shop_5,kinder-cola,glass,500ml,1.37,8959
240,137540,shop_5,kinder-cola,can,330ml,0.8,13943
241,137540,shop_5,adult-cola,glass,500ml,1.12,16023
242,137540,shop_5,adult-cola,can,330ml,0.6,19785
243,137540,shop_5,orange-power,glass,500ml,0.89,23900
244,137540,shop_5,orange-power,plastic,1.5lt,1.43,17776
245,137540,shop_5,orange-power,can,330ml,0.51,25242
246,137540,shop_5,gazoza,glass,500ml,0.4,55401
247,137540,shop_5,gazoza,plastic,1.5lt,0.54,34972
248,137540,shop_5,gazoza,can,330ml,0.31,38927
249,137540,shop_5,lemon-boost,glass,500ml,1.17,7708
250,137540,shop_5,lemon-boost,plastic,1.5lt,1.75,12816
251,137540,shop_5,lemon-boost,can,330ml,0.58,19137
252,164250,shop_6,gazoza,plastic,1.5lt,1.03,37979
253,346502,shop_4,orange-power,plastic,1.5lt,2.2,15560
254,672130,shop_1,adult-cola,glass,500ml,0.95,24821
255,672130,shop_1,adult-cola,can,330ml,0.71,18762
256,346502,shop_4,adult-cola,plastic,1.5lt,2.55,21970
257,672130,shop_1,gazoza,plastic,1.5lt,0.93,31097
258,346502,shop_4,lemon-boost,glass,500ml,1.22,12744
259,672130,shop_1,orange-power,glass,500ml,0.61,42741
260,672130,shop_3,adult-cola,can,330ml,0.77,13152
261,134219,shop_2,adult-cola,can,330ml,0.67,22329
262,672130,shop_3,orange-power,can,330ml,0.28,38019
263,672130,shop_3,lemon-boost,glass,500ml,0.72,20219
264,672130,shop_1,lemon-boost,glass,500ml,0.73,22825
265,164250,shop_6,lemon-boost,glass,500ml,0.91,28679
266,137540,shop_5,adult-cola,plastic,1.5lt,1.95,15872
267,672130,shop_1,gazoza,can,330ml,0.2,67246
268,137540,shop_5,kinder-cola,plastic,1.5lt,3.67,6391
269,672130,shop_3,adult-cola,glass,500ml,1.06,16239
270,672130,shop_1,kinder-cola,glass,500ml,1.31,12234
271,672130,shop_1,kinder-cola,plastic,1.5lt,3.53,9002
272,672130,shop_1,adult-cola,glass,500ml,1.2,19742
273,672130,shop_1,adult-cola,plastic,1.5lt,2.24,18652
274,672130,shop_1,adult-cola,can,330ml,0.75,20679
275,672130,shop_1,orange-power,glass,500ml,0.66,48207
276,672130,shop_1,orange-power,plastic,1.5lt,1.87,19557
277,672130,shop_1,orange-power,can,330ml,0.42,47608
278,672130,shop_1,gazoza,glass,500ml,0.5,52986
279,672130,shop_1,gazoza,plastic,1.5lt,1.13,27350
280,672130,shop_1,gazoza,can,330ml,0.27,54223
281,672130,shop_1,lemon-boost,glass,500ml,0.93,19119
282,672130,shop_1,lemon-boost,plastic,1.5lt,1.27,17780
283,672130,shop_1,lemon-boost,can,330ml,0.22,51198
284,134219,shop_2,kinder-cola,glass,500ml,1.11,19344
285,134219,shop_2,kinder-cola,plastic,1.5lt,3.3,11857
286,134219,shop_2,kinder-cola,can,330ml,0.66,22812
287,134219,shop_2,adult-cola,plastic,1.5lt,2.77,15893
288,134219,shop_2,adult-cola,can,330ml,0.66,34570
289,134219,shop_2,orange-power,glass,500ml,0.71,47998
290,134219,shop_2,orange-power,plastic,1.5lt,1.97,20046
291,134219,shop_2,gazoza,glass,500ml,0.66,34618
292,134219,shop_2,gazoza,plastic,1.5lt,0.93,37551
293,134219,shop_2,gazoza,can,330ml,0.34,53114
294,134219,shop_2,lemon-boost,glass,500ml,0.85,30300
295,134219,shop_2,lemon-boost,plastic,1.5lt,2.26,16953
296,134219,shop_2,lemon-boost,can,330ml,0.6,20697
297,164250,shop_6,kinder-cola,glass,500ml,0.93,32238
298,164250,shop_6,kinder-cola,plastic,1.5lt,3.14,17162
299,164250,shop_6,adult-cola,glass,500ml,1.28,26348
300,164250,shop_6,adult-cola,plastic,1.5lt,2.54,27447
301,164250,shop_6,adult-cola,can,330ml,0.65,49109
302,164250,shop_6,orange-power,can,330ml,0.43,68297
303,164250,shop_6,gazoza,glass,500ml,0.6,71100
304,164250,shop_6,gazoza,plastic,1.5lt,0.75,65679
305,164250,shop_6,gazoza,can,330ml,0.28,80606
306,164250,shop_6,lemon-boost,glass,500ml,0.89,34931
307,164250,shop_6,lemon-boost,plastic,1.5lt,2.1,24885
308,164250,shop_6,lemon-boost,can,330ml,0.52,38584
309,346502,shop_4,kinder-cola,glass,500ml,1.33,14495
310,346502,shop_4,kinder-cola,plastic,1.5lt,1.92,21118
311,346502,shop_4,kinder-cola,can,330ml,0.7,22207
312,346502,shop_4,adult-cola,glass,500ml,1.13,33708
313,346502,shop_4,adult-cola,plastic,1.5lt,2.63,21831
314,346502,shop_4,adult-cola,can,330ml,0.57,44550
315,346502,shop_4,orange-power,plastic,1.5lt,1.35,36656
316,346502,shop_4,orange-power,can,330ml,0.44,50809
317,346502,shop_4,gazoza,glass,500ml,0.56,66331
318,346502,shop_4,gazoza,plastic,1.5lt,0.85,39721
319,346502,shop_4,gazoza,can,330ml,0.31,62442
320,346502,shop_4,lemon-boost,glass,500ml,0.69,34872
321,346502,shop_4,lemon-boost,plastic,1.5lt,2.25,17011
322,346502,shop_4,lemon-boost,can,330ml,0.61,29981
323,672130,shop_3,kinder-cola,glass,500ml,1.3,10271
324,672130,shop_3,kinder-cola,plastic,1.5lt,2.8,9279
325,672130,shop_3,adult-cola,glass,500ml,1.08,16912
326,672130,shop_3,adult-cola,can,330ml,0.88,11412
327,672130,shop_3,orange-power,glass,500ml,0.89,22207
328,672130,shop_3,orange-power,plastic,1.5lt,0.63,33684
329,672130,shop_3,orange-power,can,330ml,0.33,43364
330,672130,shop_3,gazoza,plastic,1.5lt,0.76,29264
331,672130,shop_3,gazoza,can,330ml,0.34,33934
332,672130,shop_3,lemon-boost,can,330ml,0.49,18375
333,137540,shop_5,kinder-cola,plastic,1.5lt,2.35,13234
334,137540,shop_5,kinder-cola,can,330ml,0.76,17428
335,137540,shop_5,adult-cola,glass,500ml,0.87,27578
336,137540,shop_5,adult-cola,plastic,1.5lt,3.16,11228
337,137540,shop_5,adult-cola,can,330ml,0.61,26374
338,137540,shop_5,orange-power,glass,500ml,0.57,43559
339,137540,shop_5,orange-power,plastic,1.5lt,2.15,14881
340,137540,shop_5,orange-power,can,330ml,0.44,36220
341,137540,shop_5,gazoza,glass,500ml,0.56,33570
342,137540,shop_5,gazoza,plastic,1.5lt,1.02,27465
343,137540,shop_5,gazoza,can,330ml,0.32,42849
344,137540,shop_5,lemon-boost,plastic,1.5lt,1.76,20400
345,137540,shop_5,lemon-boost,can,330ml,0.67,14762
346,164250,shop_6,orange-power,glass,500ml,0.59,73839
347,134219,shop_2,orange-power,can,330ml,0.47,47135
348,672130,shop_3,gazoza,glass,500ml,0.57,34124
349,164250,shop_6,orange-power,plastic,1.5lt,1.61,41523
350,672130,shop_3,lemon-boost,plastic,1.5lt,1.78,16494
351,672130,shop_3,adult-cola,plastic,1.5lt,2.96,10210
352,137540,shop_5,kinder-cola,glass,500ml,1.21,12721
353,164250,shop_6,kinder-cola,can,330ml,0.7,29499
354,137540,shop_5,lemon-boost,glass,500ml,0.98,16739
355,672130,shop_3,lemon-boost,glass,500ml,0.77,23851
356,672130,shop_1,kinder-cola,can,330ml,0.95,9881
357,346502,shop_4,orange-power,glass,500ml,0.65,58620
358,672130,shop_3,kinder-cola,can,330ml,0.9,13451
359,134219,shop_2,adult-cola,glass,500ml,1.1,27765
360,672130,shop_1,kinder-cola,glass,500ml,0.93,22444
361,672130,shop_1,kinder-cola,plastic,1.5lt,2.75,14585
362,672130,shop_1,kinder-cola,can,330ml,0.72,21197
363,672130,shop_1,adult-cola,glass,500ml,0.88,35489
364,672130,shop_1,adult-cola,can,330ml,0.79,21227
365,672130,shop_1,orange-power,glass,500ml,0.92,33615
366,672130,shop_1,orange-power,plastic,1.5lt,2.07,18752
367,672130,shop_1,orange-power,can,330ml,0.42,47160
368,672130,shop_1,gazoza,glass,500ml,0.67,34211
369,672130,shop_1,gazoza,can,330ml,0.27,64702
370,672130,shop_1,lemon-boost,glass,500ml,0.65,27931
371,672130,shop_1,lemon-boost,plastic,1.5lt,2.68,9979
372,672130,shop_1,lemon-boost,can,330ml,0.61,27252
373,134219,shop_2,kinder-cola,can,330ml,0.7,25923
374,134219,shop_2,adult-cola,glass,500ml,1.08,28768
375,134219,shop_2,adult-cola,can,330ml,0.6,41068
376,134219,shop_2,orange-power,plastic,1.5lt,0.92,49332
377,134219,shop_2,orange-power,can,330ml,0.4,66515
378,134219,shop_2,gazoza,plastic,1.5lt,0.78,56600
379,134219,shop_2,gazoza,can,330ml,0.24,83250
380,134219,shop_2,lemon-boost,glass,500ml,0.98,23508
381,134219,shop_2,lemon-boost,plastic,1.5lt,2.62,13543
382,164250,shop_6,kinder-cola,glass,500ml,1.14,32905
383,164250,shop_6,adult-cola,glass,500ml,1.33,28775
384,164250,shop_6,adult-cola,plastic,1.5lt,3.06,22397
385,164250,shop_6,adult-cola,can,330ml,0.66,50641
386,164250,shop_6,orange-power,glass,500ml,0.81,60877
387,164250,shop_6,orange-power,plastic,1.5lt,0.79,71935
388,164250,shop_6,orange-power,can,330ml,0.58,45262
389,164250,shop_6,gazoza,glass,500ml,0.51,89074
390,164250,shop_6,gazoza,plastic,1.5lt,0.7,73635
391,164250,shop_6,gazoza,can,330ml,0.24,126691
392,164250,shop_6,lemon-boost,glass,500ml,0.91,37742
393,164250,shop_6,lemon-boost,plastic,1.5lt,2.11,26385
394,164250,shop_6,lemon-boost,can,330ml,0.61,37875
395,346502,shop_4,kinder-cola,glass,500ml,1.39,19858
396,346502,shop_4,kinder-cola,plastic,1.5lt,2.98,14075
397,346502,shop_4,adult-cola,glass,500ml,1.34,23515
398,346502,shop_4,adult-cola,plastic,1.5lt,2.82,22499
399,346502,shop_4,adult-cola,can,330ml,0.77,29324
400,346502,shop_4,orange-power,glass,500ml,0.71,56101
401,346502,shop_4,orange-power,plastic,1.5lt,1.51,43937
402,346502,shop_4,orange-power,can,330ml,0.48,56090
403,346502,shop_4,gazoza,glass,500ml,0.61,52364
404,346502,shop_4,gazoza,plastic,1.5lt,0.42,73778
405,346502,shop_4,gazoza,can,330ml,0.27,86675
406,346502,shop_4,lemon-boost,glass,500ml,0.95,29784
407,346502,shop_4,lemon-boost,plastic,1.5lt,2.09,22286
408,346502,shop_4,lemon-boost,can,330ml,0.61,33824
409,672130,shop_3,kinder-cola,glass,500ml,1.59,7023
410,672130,shop_3,kinder-cola,plastic,1.5lt,3.14,9988
411,672130,shop_3,kinder-cola,can,330ml,0.95,9062
412,672130,shop_3,adult-cola,glass,500ml,1.01,24184
413,672130,shop_3,adult-cola,plastic,1.5lt,2.74,13975
414,672130,shop_3,adult-cola,can,330ml,0.74,22108
415,672130,shop_3,orange-power,glass,500ml,0.43,51145
416,672130,shop_3,orange-power,plastic,1.5lt,1.34,24141
417,672130,shop_3,orange-power,can,330ml,0.41,38188
418,672130,shop_3,gazoza,glass,500ml,0.44,55426
419,672130,shop_3,gazoza,can,330ml,0.2,66656
420,672130,shop_3,lemon-boost,glass,500ml,0.9,17869
421,672130,shop_3,lemon-boost,plastic,1.5lt,1.8,18308
422,137540,shop_5,kinder-cola,glass,500ml,1.05,20660
423,137540,shop_5,kinder-cola,plastic,1.5lt,3.03,9482
424,137540,shop_5,kinder-cola,can,330ml,0.99,8669
425,137540,shop_5,adult-cola,glass,500ml,1.39,13393
426,137540,shop_5,adult-cola,plastic,1.5lt,2.89,13208
427,137540,shop_5,adult-cola,can,330ml,0.53,38982
428,137540,shop_5,orange-power,glass,500ml,0.63,49830
429,137540,shop_5,orange-power,plastic,1.5lt,1.9,22905
430,137540,shop_5,orange-power,can,330ml,0.46,39816
431,137540,shop_5,gazoza,plastic,1.5lt,0.68,41741
432,137540,shop_5,gazoza,can,330ml,0.37,31336
433,137540,shop_5,lemon-boost,glass,500ml,0.63,31465
434,137540,shop_5,lemon-boost,plastic,1.5lt,2.2,13367
435,134219,shop_2,gazoza,glass,500ml,0.46,72786
436,672130,shop_1,adult-cola,plastic,1.5lt,2.37,16576
437,346502,shop_4,kinder-cola,can,330ml,0.87,20974
438,134219,shop_2,kinder-cola,glass,500ml,1.35,16387
439,137540,shop_5,gazoza,glass,500ml,0.54,52301
440,164250,shop_6,kinder-cola,plastic,1.5lt,2.98,20557
441,134219,shop_2,lemon-boost,can,330ml,0.51,36121
442,134219,shop_2,kinder-cola,plastic,1.5lt,2.49,18026
443,137540,shop_5,lemon-boost,can,330ml,0.51,27389
444,134219,shop_2,adult-cola,plastic,1.5lt,2.68,23151
445,672130,shop_3,gazoza,plastic,1.5lt,0.92,31466
446,164250,shop_6,kinder-cola,can,330ml,0.73,30446
447,134219,shop_2,orange-power,glass,500ml,0.83,42768
448,672130,shop_1,gazoza,plastic,1.5lt,0.92,36675
449,672130,shop_3,lemon-boost,can,330ml,0.34,28404
450,672130,shop_1,kinder-cola,glass,500ml,0.84,26725
451,672130,shop_1,adult-cola,glass,500ml,1.31,18512
452,672130,shop_1,adult-cola,can,330ml,0.64,35499
453,672130,shop_1,orange-power,plastic,1.5lt,2.45,12663
454,672130,shop_1,orange-power,can,330ml,0.34,66269
